Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200701BS70364,Slight,3/7/2019,51.499504,Daylight,Kensington and Chelsea,-0.183842,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70365,Slight,12/7/2019,51.526244,Daylight,Kensington and Chelsea,-0.215215,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70366,Serious,9/7/2019,51.491519,Daylight,Kensington and Chelsea,-0.179262,2,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70367,Slight,6/7/2019,51.489622,Daylight,Kensington and Chelsea,-0.155713,1,2,Dry,Single carriageway,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200701BS70368,Slight,29/06/2019,51.482076,Darkness - lights lit,Kensington and Chelsea,-0.173445,1,3,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70370,Serious,5/7/2019,51.515891,Daylight,Hammersmith and Fulham,-0.220376,1,2,Dry,Roundabout,Urban,Fine no high winds,Car
200701BS70371,Slight,8/7/2019,51.496752,Daylight,Kensington and Chelsea,-0.168824,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70372,Slight,6/7/2019,51.495811,Daylight,Kensington and Chelsea,-0.171887,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70373,Serious,18/06/2019,51.496665,Daylight,Kensington and Chelsea,-0.168972,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70374,Serious,9/7/2019,51.497309,Daylight,Kensington and Chelsea,-0.20482,2,1,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70375,Serious,12/7/2019,51.483163,Daylight,Kensington and Chelsea,-0.1855,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70376,Slight,11/7/2019,51.490434,Daylight,Kensington and Chelsea,-0.167349,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70377,Slight,12/7/2019,51.514568,Daylight,Westminster,-0.19852,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70378,Serious,12/7/2019,51.482076,Daylight,Kensington and Chelsea,-0.173445,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70379,Serious,17/07/2019,51.506187,Daylight,Kensington and Chelsea,-0.209082,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70381,Slight,20/07/2019,51.50143,Daylight,Kensington and Chelsea,-0.192122,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
